PRICE,YEAR_BUILT,SQUARE_FEET,NUM_BEDROOMS,NUM_BATHROOMS,LOT_ACRES,GARAGE_SPACES,FRONT_PORCH,DECK
490098,2008,3063.6599637506733,2,1.0,1.37,2,0,0
381981,1991,2696.878986432665,3,3.0,0.83,2,0,0
522583,2004,3128.891776483289,6,1.0,1.55,2,1,1
304132,2005,1601.5470000229984,4,2.5,0.76,3,0,1
277414,1980,2298.7600543295057,4,2.5,1.34,2,0,1
683910,2019,3698.404078014424,6,1.5,1.11,2,0,0
161050,1993,1286.0038352726708,2,2.5,0.71,2,1,0
331953,1994,2319.6905823916345,4,2.5,1.1,1,0,1
277216,2004,1829.1091532261632,3,2.0,1.19,0,1,0
344270,2003,2093.135365157361,2,2.0,1.02,3,0,1
624407,2004,3635.381036207356,5,3.0,0.94,3,1,0
336211,1986,2528.408505240568,6,3.0,1.13,0,0,1
303414,2002,1756.7625880372211,4,2.5,1.16,2,0,0
708655,2017,4071.7023250146663,5,2.0,0.86,1,1,1
271801,2002,1770.3436572899232,2,1.5,1.25,2,0,1
516816,2003,3247.445795442691,5,3.0,0.98,0,1,0
424474,2006,2569.8307309054026,2,1.5,1.1,3,1,1
460526,1995,3209.845645073593,5,2.5,0.77,0,1,0
557486,1995,3979.910186761378,4,2.0,0.7,0,1,1
457307,1975,3769.0478542098535,5,2.0,1.13,1,1,1
366221,1991,2628.8101483479845,6,2.5,0.96,0,0,1
311853,2004,1835.3549562084263,4,2.5,1.27,1,1,1
314607,1992,2441.050041879047,2,1.0,1.23,2,1,1
532344,2016,2854.96440043553,3,3.0,0.94,2,0,0
487660,1997,3201.7335736994405,4,2.0,1.16,2,0,0
415125,1990,2904.839825875231,5,1.0,0.96,3,0,0
310602,1982,2454.3522732040105,4,3.0,0.83,2,1,1
378066,1999,2695.112394837706,3,1.0,0.92,1,0,1
419149,1983,3176.332807935183,3,3.0,1.18,2,1,1
446334,2013,2347.228334155625,5,3.0,0.95,1,0,0
389747,1999,2869.64932728647,2,1.0,0.62,1,1,0
161374,1986,1223.4986831509077,5,2.0,1.19,3,0,1
661801,2000,4193.341108795796,3,2.5,1.02,3,1,1
146703,1977,1984.025314639744,3,1.0,0.94,0,1,1
352736,2003,2300.5780445479177,5,1.0,1.51,0,0,0
403151,1992,3040.342901449938,2,3.0,1.14,0,0,1
726678,1998,5063.193061076061,2,1.5,0.98,1,0,0
369608,1988,3057.390285781221,3,1.5,0.9,0,0,1
148216,1987,1245.4425091615994,2,3.0,0.76,3,1,1
444920,1985,3240.473185958409,6,1.0,1.59,2,1,0
545296,2008,3412.307080455654,4,1.0,1.23,1,0,0
547294,2000,3536.6326655223093,2,3.0,1.12,2,0,1
482854,1994,3097.363264518997,6,2.0,0.55,3,0,0
327018,1991,2298.453735023632,6,1.0,1.15,2,1,0
243350,1988,1992.670363808524,6,1.0,0.63,1,1,0
363078,1998,2026.525361343286,6,3.0,0.94,3,0,0
488795,1996,2977.9718818475376,5,3.0,1.14,3,0,0
215600,1989,1807.6676073771691,4,2.5,1.13,0,1,0
400346,1987,3277.30696419818,2,1.0,1.25,1,0,1
609205,1995,4052.035256608324,5,2.5,1.26,1,1,1
255745,1996,1867.9695370283728,4,2.0,1.37,0,0,0
500757,1995,3489.71852313652,4,3.0,0.82,0,1,1
509685,2001,3178.9026606662856,6,1.5,0.69,2,1,1
520950,1987,3556.670251906032,6,2.5,1.33,2,1,1
695991,2012,3920.613268054397,4,3.0,0.86,3,0,1
456337,2006,2944.24853298886,2,1.0,0.98,2,0,0
533207,1991,3613.04760314169,6,3.0,0.75,1,1,1
403639,1972,3382.9327942193954,4,2.0,1.08,3,0,0
347418,1991,2353.455956448358,6,3.0,0.96,1,0,1
488314,2001,3412.097351956608,2,1.0,1.1,1,0,0
515155,2001,3371.7010778024096,4,2.0,0.96,1,1,1
290612,1998,1897.748595168436,4,2.5,1.23,1,1,0
323524,1991,2408.161201019638,6,1.5,1.32,0,0,0
508600,2013,3081.001283273868,4,1.5,0.93,0,1,1
626059,1981,4804.728253506783,4,2.5,1.19,0,0,0
622478,2003,3954.858848873833,5,2.5,1.45,0,0,0
379837,1997,2500.582067730353,3,2.5,1.15,2,1,1
337761,1989,2492.4130478546813,5,3.0,1.26,0,0,0
665760,2010,4143.735018214704,4,2.0,1.28,0,0,0
310304,1990,2166.0318158932773,5,2.5,0.86,2,0,1
661305,2009,3999.36965547935,4,2.0,0.76,2,1,0
394930,1991,2802.5336868579025,4,3.0,0.97,1,1,0
485987,2008,2919.5831806609704,3,1.0,0.87,3,1,1
596249,2012,3500.9974345027304,5,3.0,0.74,0,0,1
308319,1972,2848.799472456069,5,2.5,0.9,1,0,1
293253,1982,2629.026159451472,2,1.0,1.26,2,0,1
636016,1990,4293.7764418274965,6,1.5,0.63,3,1,1
484266,1992,3267.445695942124,3,2.5,1.11,3,0,0
438821,1992,2910.477954385018,6,3.0,1.15,1,1,1
580445,1994,3957.638533719251,2,2.0,1.12,3,1,0
254409,1976,2498.728183530006,4,1.5,1.14,1,1,1
327455,1992,2400.0342461968085,3,1.5,1.33,2,0,0
329189,1987,2547.930327280764,2,1.5,1.3,3,0,0
368124,1997,2450.4979464098865,6,2.0,1.37,0,0,0
232346,1984,1877.6407893201877,6,2.0,1.38,1,1,1
57092,1972,1222.6148474031568,4,3.0,0.58,1,0,1
